,cluster,latitude,longitude,wlthindf
0,1,-2.5328180000000002,29.684726,-0.531405
1,2,-1.8338580000000002,30.310689,-0.40983
2,3,-1.888155,29.478298,-0.478115
3,4,-2.366763,30.521691999999998,-0.43596
4,5,-2.171266,30.018541,-0.44948
5,6,-2.036917,30.114590999999997,-0.11265
6,7,-1.768636,29.799134999999996,-0.39962
7,8,-1.769425,29.967648999999998,-0.19558
8,9,-1.974834,30.111134999999997,2.39554
9,10,-2.038221,30.310015000000003,0.05646
10,11,-2.021018,30.651838,-0.233975
11,12,-2.212707,29.921206,-0.45845
12,13,-2.22724,29.413434999999996,-0.643445
13,14,-1.912341,29.512758,-0.50153
14,15,-1.997883,29.631617,-0.49069
15,16,-2.0728470000000003,30.824889000000002,-0.54898
16,17,-2.1161779999999997,29.813837,-0.41252
17,18,-1.7199259999999998,29.555812,-0.41903
18,19,-2.193395,30.012103999999997,-0.38006
19,20,-2.3728580000000004,29.704832,-0.46062000000000003
20,21,-2.1916450000000003,29.290962,-0.266005
21,22,-2.267461,29.815544,-0.275315
22,23,-1.984298,30.124576,3.14126
23,24,-1.6405779999999999,29.322453000000003,-0.4128
24,25,-1.41364,29.737840000000002,-0.39372
25,26,-1.355377,30.414937,0.08756
26,27,-1.670937,29.358629999999998,-0.5394300000000001
27,28,-1.6498400000000002,29.618431,-0.49357
28,29,-1.9570990000000001,30.056541999999997,2.215415
29,30,-1.65317,30.391795000000002,-0.385275
30,31,-1.9281119999999998,29.606201000000002,-0.380515
31,32,-1.807319,30.195201,-0.23178
32,33,-1.8608490000000002,30.288849,0.19917
33,34,-1.59673,29.383046999999998,-0.555805
34,35,-2.243706,30.545879,-0.38261
35,36,-1.429948,30.295583,-0.32845
36,37,-2.585717,29.667567,-0.35604
37,38,-1.224948,30.414023999999998,-0.03633
38,39,-1.407318,30.255418,-0.167385
39,40,-2.644809,29.625657,-0.44719
40,41,-2.1543189999999997,29.592663,-0.492
41,42,-2.119264,30.591071999999997,-0.007955000000000004
42,43,-2.65403,29.490940999999996,-0.5277
43,44,-1.842713,29.96173,-0.19927
44,45,-1.635746,30.134193,-0.37322500000000003
45,46,-1.981685,30.091802,1.860625
46,47,-2.7665330000000004,29.442456,-0.66092
47,48,-1.9112040000000001,29.688088,-0.34676
48,49,-1.820759,29.310801,-0.36711000000000005
49,50,-1.522252,29.972440000000002,-0.39113
50,51,-1.7356479999999999,30.350217999999998,-0.42701
51,52,-1.8969639999999999,30.078518,2.70197
52,53,-2.253763,29.818389,-0.61453
53,54,-2.660312,29.488456,-0.5825199999999999
54,55,-2.036321,30.567216,-0.30881
55,56,-1.944695,30.027641999999997,2.349945
56,57,-1.941357,30.117212,1.70097
57,58,-1.506785,29.937148999999998,-0.27617
58,59,-1.724432,30.446296999999998,-0.366825
59,60,-1.680382,29.265095000000002,2.667715
60,61,-2.384913,30.130896000000003,-0.07593
61,62,-1.6639279999999999,30.03893,-0.44492
62,63,-1.382059,30.186242,-0.31335999999999997
63,64,-1.464185,30.188365,-0.242095
64,65,-2.2752689999999998,30.632707,-0.179475
65,66,-1.6044209999999999,29.663306,-0.42851
66,67,-1.69445,29.293840000000003,-0.340905
67,68,-1.4063299999999999,30.061457,-0.247665
68,69,-2.619375,29.520306,-0.3745
69,70,-1.9617529999999999,30.148305,2.24541
70,71,-1.532891,29.896194,-0.44135
71,72,-1.677144,29.300913,-0.577145
72,73,-1.5254020000000001,29.393545,-0.40432
73,74,-1.699055,29.750063,-0.43084500000000003
74,75,-2.281564,29.67166,-0.424585
75,76,-1.9843790000000001,30.114562,3.1974
76,77,-1.826279,29.500459000000003,-0.5743
77,78,-1.873284,29.402976000000002,-0.54728
78,79,-2.1969060000000002,29.705178999999998,-0.306075
79,80,-1.9193939999999998,30.063067999999998,2.420615
80,81,-2.32428,29.24687,-0.32712
81,82,-2.156734,29.581570000000003,-0.47526
82,83,-2.543825,29.487188,-0.6040449999999999
83,84,-2.24475,30.369448,-0.46489
84,85,-2.762775,29.682686999999998,-0.6372800000000001
85,86,-1.6394,29.386458,-0.19482
86,87,-1.977328,30.072169,2.00301
87,88,-1.95365,30.139626,2.779135
88,89,-2.474959,29.838132,-0.44199
89,90,-2.428076,29.462496999999995,-0.6447
90,91,-2.357266,29.802312,-0.433545
91,92,-1.559758,29.558065000000003,-0.36939500000000003
92,93,-1.631198,30.363396999999996,-0.23469
93,94,-2.104501,29.436317,-0.44786499999999996
94,95,-2.208816,29.628509,-0.38404
95,96,-1.79213,29.624638,-0.43945
96,97,-1.595625,29.571792,-0.496245
97,98,-1.9190919999999998,30.580089,-0.43298
98,99,-1.968977,30.063375,1.252685
99,100,-2.089516,29.390751,-0.39515
100,101,-2.660932,29.833817,-0.39961
101,102,-2.4662479999999998,29.780193,-0.58809
102,103,-1.9411919999999998,29.879028,-0.26456
103,104,-2.189393,29.376621999999998,-0.45561
104,105,-2.576043,29.741134000000002,-0.787645
105,106,-2.27699,29.801138,-0.4556
106,107,-1.9401509999999997,30.144471999999997,3.33664
107,108,-2.106086,29.896746000000004,-0.36841
108,109,-1.693164,29.370811,-0.6302449999999999
109,110,-1.0993469999999999,30.414610999999997,-0.22189
110,111,-1.978592,30.061431,2.24166
111,112,-1.688129,30.076672,-0.374865
112,113,-2.709533,29.472353000000002,-0.54409
113,114,-2.040137,30.029044,-0.079745
114,115,-1.7230580000000002,29.505490999999996,0.77875
115,116,-1.844282,29.411107,-0.37707999999999997
116,117,-2.507886,29.090533,-0.411275
117,118,-2.139863,29.690493,-0.35406
118,119,-1.5051219999999998,30.218895,-0.407315
119,120,-1.7746790000000001,30.154405,-0.35844
120,121,-1.940534,30.055079,1.30537
121,122,-1.585452,30.309966999999997,0.5722050000000001
122,123,-2.515693,29.646141999999998,-0.47989499999999996
123,124,-1.768044,30.163513000000002,-0.401235
124,125,-2.305046,30.628462,-0.27022
125,126,-1.486921,29.488297999999997,-0.560705
126,127,-1.555831,29.883326,-0.57474
127,128,-1.501343,29.630390000000002,1.28826
128,129,-2.19057,29.944765000000004,-0.3479
129,130,-2.7110689999999997,29.728344,-0.59506
130,131,-1.990186,30.098831,2.64246
131,132,-1.859734,29.790740000000003,-0.260125
132,133,-1.554227,29.923283,-0.44385
133,134,-1.9744119999999998,30.089289,1.92084
134,135,-1.6797630000000001,29.704893,-0.40931
135,136,-1.877191,29.313049,-0.29763
136,137,-1.53765,29.626807,-0.31062999999999996
137,138,-1.681372,29.321231,-0.46111
138,139,-1.583996,29.814668,-0.51493
139,140,-2.4490830000000003,29.398885999999997,-0.5504199999999999
140,141,-1.627679,29.362558,-0.504985
